�ния в крови меди;R79.0;47831
10054530;Паралич церебральный смешанный;G80.8;54591
10054531;Паралич церебральный спастический;G80.1;54592
10054532;Паралич церебральный спастический гемиплегический;G80.2;54593
10054533;Паралич церебральный спастический диплегический;G80.1;54594
10054534;Паралич церебральный спастический квадриплегический;G80.0;54595
10054535;Паралич церебральный спастический моноплегический;G80.1;54596
10054536;Паралич церебральный спастический тетраплегический;G80.0;54597
10054537;Паралич церебральный спастический уточненный;G80.1;54598
10054538;Паралич церебральный тетраплегический;G80.8;54599
10054539;Паралич церебральный тетраплегический спастический;G80.0;54600
10054540;Паралич церебральный уточненный;G80.8;54601
10054541;Паралич черепного нерва множественный;G52.7;54602
10054542;Паралич черепного нерва множественный при инфекционной болезни;B99;54603
10054543;Паралич черепного нерва множественный при неопластической болезни;D48.9;54604
10054544;Паралич черепного нерва множественный при паразитарной болезни;B89;54605
10054545;Паралич черепного нерва множественный при саркоидозе;D86.8;54606
10054546;Паралич четвертого нерва;H49.1;54607
10054547;Паралич четвертого нерва у новорожденного;P14.9;54608
10054548;Паралич четвертого нерва у новорожденного родовая травма;P14.9;54609
10054549;Паралич шейный симпатический;G90.2;54610
10054550;Паралич шестого нерва;H49.2;54611
10054551;Паралич эмболический;I63.4;54612
10054552;Паралич эмболический текущий случай;I63.4;54613
10054553;Паралич Эрба сифилитический спастический спинальный;A52.1;54614
10054554;Паралич Эрба сифилитический спастический спинальный с сифилисом;A52.1;54615
10054555;Паралич Эрба-Дюшенна;P14.0;54616
10054556;Паралич Эрба-Дюшенна при родовой травме;P14.0;54617
10054557;Паралич Эрба-Дюшенна у новорожденного;P14.0;54618
