зяином квартиры;Z59.2;59528
10067232;Сиалоденит гнойный;K11.2;67300
10067233;Сиалоденит хронический;K11.2;67301
10067234;Сиалодохит;K11.2;67302
10067235;Сиалодохит фиброзный;K11.2;67303
10067236;Сиалоз;K11.7;67304
10067237;Сиалолитиаз;K11.5;67305
10067238;Сиалометаплазия некротическая;K11.8;67306
10067239;Сиалорея;K11.7;67307
10067240;Сиалэктазия;K11.8;67308
10067241;Сиамские близнецы;Q89.4;67309
10067242;Сибиреязвенный менингит;A22.8;67310
10067243;Сибиреязвенный сепсис;A22.7;67311
10067244;Сибирская язва;A22.9;67312
10067245;Сибирская язва ингаляционная;A22.1;67313
10067246;Сибирская язва с пневмонией;A22.1;67314
10067247;Сибирская язва, желудочно-кишечная форма;A22.2;67315
10067248;Сибирская язва, кожная форма;A22.0;67316
10067249;Сибирская язва, легочная форма;A22.1;67317
10067250;Сибирская язва, респираторная форма;A22.1;67318
10067251;Сибирская язва, уточненная форма;A22.8;67319
10067252;Сибирская язва, церебральная форма;A22.8;67320
10067253;Сиватта болезнь;L57.3;67321
10067254;Сиватта пойкилодермия;L57.3;67322
10067255;Сигмоидит;A09.9;67323
10067256;Сигмоидит инфекционный;A09.9;67324
10067257;Сигмоидит неинфекционный;K52.9;67325
10067258;Сигмоидит неинфекционный предполагаемый;K52.9;67326
10067259;Сидероз;J63.4;67327
